In golf what would you put in your shag bag	Practice Balls	When do diurnal animals sleep	Night time	What type of animal is a jennet	Small Spanish horse
Constance Markiewicz, Became The Worlds First Ever What In 1918?	First British Female MP	What is a gondola?	Water taxi	What is the nickname for Paterson, New Jersey	Silk city
Which Modern Gymnastics Event Made Its First Appearance At The 2000 Sydney Olympics 	Trampolining 	Whose real name is Annie Mae Bullock	Tina Turner	The city of _________ used to be known as Puerto Rico (which means "rich port" in Spanish), while the island of Puerto Rico was originally named San Juan.	San juan
Burning potassium has what colour flame	Purple	Oneirophobia is the fear of	Dreams	In 1982 which group declared they were 'hungry like the wolf'	Duran duran
Who directed the monochrome (sepia) sequences at the beginning and end of "the wizard of oz" (1939)	King vidor	The Lost Island Of "Naboombu" Features In Which Disney Movie	Bedknobs & Broomsticks	Dactylography is the study and practice of what	Finger printing
Who Became premier of Cuba in 1959. 	Fidel Castro 	Who won the woman's 400 m hurdles in the 1992 olympics	Sally gunnell	Who sang 'any way you want me'	Elvis presley
According to the song what did my true love give to me on the fifth day of Christmas 	Five Gold Rings 	What fruits are sorted for ripeness by bouncing them	Cranberries	Nolan Bushnell, creator of the first arcade game, also founded the video arcade chain now known as what?                             	Chuck E. Cheese's
What is the cap on the fire hydrant called	Bonnet	What does a myrmecologist study	Ants	In Which Lake Did Otis Redding's Plane Crash In 1967	Lake Monoma
What is the capital of Philippines ?	Manila	Kuala lumpur is the capital of ______	Malaysia	What was named after amerigo vespucci	America
Who Originated The Uncertainty Principle 	Heisenberg 	Allium cepa - one of the lilicaea - world most used food item	Onion	Who was beaten at the battle of Actium by Octavian	Mark antony
What dodgers and cubs first-baseman dropped baseball to take up actin	Chuck	In what movie did Sinatra sing My Kind of Town	Robin and the 7 Hoods	What Group Consisted Of Marki King, Boon Gould, Mike Lindup, Phil Gould	Level 42
Which usical instrument was invented by Henry Schluter?	Vibraphone	In 1984 Challenger astronauts complete 1st in space satellite	Repair	Who Provided The Voice Of Charlie In The TV Show 'Charlies Angels'' 	John Forsythe 
How long is a silver anniversary	25 years	There were three Kings of England in 1066. Harold and William, of course, and who else	Edward the confessor	What Was The Official Single Of Euro 96	We're In This Together (Simply Red)
Johnny Marr Teamed Up With Which Former New Order Member To Form The Band Electronic	Bernard Sumner	What is a group of trout	Hover	What is athens' old quarter	Plaka
Test of metal or ore for ingredients and quality	Assay	What is the Capital of: Romania	Bucharest	Which musical features the song 'Happy Talk'	South pacific,
What is a woolly bear	Caterpillar	The word rodent comes from the Latin rodere meaning what	To Gnaw	Whats traditionally the first event in a rodeo	Bareback riding
What is the name of the telescope that was placed in orbit in the eighties?	Hubble	On 'the lucy show', who played vivian bagley	Vivian vance	Which Large Feline Of Asia Is Sometimes Called An Ounce 	Snow Leopard 
Where was The Beast, the first mobile robot, developed	Johns hopkins	What country had Europe's fastest economic growth rate in 1988	Spain	You're eating maggots Michael.	Lost Boys
The province of Alberta in Canada has been completely free of rats since what year	1905	George Hoy-Booth became famous as who	George Formby	What Was Founded In The UK In 1694 Because Of Englands War With France	The Bank Of England
Arlanda is the airport which serves which European city	Stockholm	From which Marx Brothers film comes the line 'Either he's dead, or my watch has stopped	A day at the races	Who is the Norse god of poetry ?	Bragi
What Group Did Nick Cave Sing With Before Forming The Bad Seeds	The Birthday Party	Caterpillar comes from the old French what's it literally mean	Hairy Cat	How long does it take for Earth to travel around the Sun?	1 Year
Sound Navigation Ranging is better known as _________.	Sonar	What was the first film directed by robert redford	Ordinary people	Who made his name with Jimmy James and the Blue Flames	Jimmy Hendrix
What is a group of geese called	Gaggle	What song gave a 9 year old US a UK No 1 lots weeks 1972/73	Long haired lover from Liverpool	Who was the first choice to play Beverley Hills Cop	Sylvester Stallone
Which Music Festival Was Attended By Over 400,000 People In 1969	Woodstock	Allium Sativum is better known as what	Garlic	Of who was atahualpa king	Incas
The last Nascar driver to serve jail time for running moonshine was who	Buddy arrington	Who was kidnapped in Robert Louis Stevenson's Kidnapped	David Balfour	Who did pat sajak play on the soapie 'days of our lives'	Kevin hathaway
Which Capital City Is Home To "Carrasco" International Airport	Montevideo (Uruguay)	California Valley and a Chinese cabbage what word means both	Napa	Saul Hudson Is The Real Name Of Which Guitarist	Slash
The worlds what museum is at 19 Green belt North York Ontario	Contraceptive	What is 'applejack'	Fermented cider	How many clubs a day did the girl who came in through the bathroom window work at?	Fifteen
What is hippopotomonstrosesquippedaliophobia the fear of?	Long words	What short term is given to the leader of the Red Arrows aerobatic display team?	Red 1	If you were eating aloo in an Indian restaurant what would you be eating? 	Potato 
In the game of chess, which piece has the most freedom to move?	Queen	What are drumlins and eskers formed by	Glacier	Which Of Courtney Cox's Co Stars From The Scream Films Is Now Her Husband 	David Arquette 
What Is The Function Of The Thyroid Gland 	To Regulate Growth & The Metabolism 	Alain Boublil and Claude-Michel Schonberg wrote which hit musical	Les miserables	Tethys is a moon of which planet in the solar system?	Saturn
Who Claimed That "Mama Gave Birth To The Soul Children"	Queen Latifah	How Many Holes Are There On A Traditional Artists Pallette? 	One 	What type of adornment is a Postiche	Small Hairpiece
Singapore banned which popular western foodstuff because of litter implicatons? 	Chewing Guim 	TAP is the national airline of which country	Portugal	An angle greater than 90 degrees is said to be _________.	Obtuse
Metal framework on a vehicle to protect it in the event of a collision with a large animal	Bull bar	How many 'Air Force One'(s) are there?	Two	In Delaware by law a newlywed must do what if wife asks	Take her Shopping
What is a Bellwether	Leader of flock of sheep	Non dairy creamer is _________	Flammable	Which playwright wrote Lady Windermere's Fan	Oscar wilde
As what is 'South West Township' known in south africa	Soweto	Who wrote the Belgariad ?	Leigh and David Eddings	Name The Fabulous Winged Horse Of Greek Mythology? 	Pegasus 
What is the most important mineral for strong bones & teeth	Calcium	Who did the original thugs worship	The Goddess Kali	What was the first cartoon to feature sound	Steamboat willy
What asian leader was known as the little brown saint 	Mahatma gandhi 	Which Artists Recorded The Album The Original Soundtrack	10cc	Which Baltic seaport was the German rocket centre during WWII?	Peenemunde
Of who did the u.s postal service print 500 million stamps in 1993	Elvis	What word may be used to refer to a group of peacocks	Muster	Which 1956 film about the pocket battleship Graf Spec starred John Gregson	Battle of the river plate
What is 'bountiful mother' in latin	Alma mater	What does ALF stand for? 	Alien Life Form 	What red fruit is most often eaten in green salads	Tomato
What was the name of john lennon and cynthia lennon's son	Sean	After Much Legal Wrangling Who Became The Controller Of 'The News Of The World'' In 1969 	Rupert Murdoch 	Who Was Ian Flemming's Top Choice To Play James Bond Before "Sean Connery" Eventually Got The Part	Roger Moore
Lake Vanern is the largest lake in which country	Sweden	In which film did Lee Marvin throw boiling coffee in Gloria Graham's face	The big heat	Who sold the most albums on a single day	Elvis 20 million day after death
What is the missing word in english with the letter combination 'uu' vacuum, muumuu, continuum, residuum, duumvir	Duumvirate	How long is an elephant pregnant	2 years	This imaginary line approximately follows the 180 degree meridian through the Pacific Ocean.	International date line
Who was the ruler of the USSR from 1917-22? 	Vladimir Lenin 	What is measured with an ombrometer	Rainfall	What does a Puissance event test in showjumping	High Jump wall
Isolophobia is the fear of	Solitude, being alone	The song White Christmas was first performed in which 1942 film? 	Holiday Inn 	Who wrote "Ender's Game" ?	Orson Scott Card
What Did Jesse Reno Invent Using Traditional Conveyor Belt Principles To Pull Folding Steps Up A Slope 	The Escalator 	Who wrote the play 'Rosencrantz and Guildenstein' are dead	Tom stoppard	What are you doing if you use the egg position	Skiing
Name the wife of King Ahab, who Jehu ordered to be thrown to her death from a window	Jezebel	Where did Mathias Rust land his Cessna in 1987	Red Square Moscow	Who Designed The Mini And The Morris Minor 	Sir Alexander Issigonis 
If not Shakespeare what links Juliet Cleopatra Mark Antony	Commit Suicide	Baseball: the san diego _______	Padres	A Limousine was originally what (From Limousine in France)	French shepherds protective cloak
Who was the first person to prove that planets move in elliptical orbits	Kepler	Basketball: The Los Angeles _________.	Lakers	What did Jeannie C. Riley describe as "a little Peyton Place"	Harper valley
Who was the first black mayor of Chicago?	Harold Washington	How many litres of water vapour can be lost in a large tree in an hour by transpiration	Three hundred	What is the capital of Iraq ?	Baghdad
Who Won The US Open Men's *Tennis * Title in 1990 At The Age Of Just 19? 	Pete Sampras 	The study of the manner in which organisms carry on their life processes is ________	Physiology	Who did Lennox Lewis beat to win his first world heavyweight title? 	Nobody, Riddick Bowe relinquished his title 
Which architect designed London's tallest building The Shard?	Renzo Piano	What does 360 degrees make	Circle	Pteromerhanophobia is the fear of	Flying
Which meteorological phenomena means "a curl of hair" in Latin	Cirrus - clouds	Name ship sunk by the submarine Conqueror Falklands War	General Belgrano	Whats the secret identity of Don Vito Corleone	The godfather
Originally a Toss Pot did a lot of what	Drinking - Alcohol	Traditionally there are 100 pleats in what item	A Chefs hat	Equinophobia is a fear of ______	Horses
What country is Men Without Hats originally from?	Canada	From what platform does the 'Chattanooga Choo Choo' leave Pennsylvania station?	29	What is the capitol of Fiji	Suva
What group was Ringo with before the Beatles?	Rory Storm and the Hurricanes	Who introduced Paul McCartney to John Lennon?	Ivan Vaughn	What canadian island has a capital named charlottetown	Prince edward island
What Did Bruce Willis, Harvey Keitel & Winston Churchill All have to overcome?	Stutters / Stammers	A fisherman in the Arral sea had his boat destroyed by what	A Cow - USA air force dumped it	What is the name for 0.1 Newtons ?	Dyne
What 3 ingredients make a sidecar cocktail	Brandy Cointreau Lemon juice	Pak man was called Paka in Japan what does paka mean	Eating	Which Scottish Loch Is The Deepest 	Loch Ness 
Anna Maria Louisa Italiano changed her name to what	Anne Bancroft	Eunectes Murinus largest of its kind in South America - what	Annoconda	What canadian professional snooker player is nicknamed the grinder	Cliff
An Aficionado originally followed what sport	Bullfighting	What is the atomic number of sulphur?	16	Which 60's Star Was Born In Johannesburg And Christened Michael Lubowitz	Manfred Mann
Which is the largest of the Canary Islands? 	Tenerife 	What species of fish is caught most	Anchovetta - Anchovy	What Treatment Involves The Precise Use Of Needles 	Acupuncture 
The land that would eventually be known as oklahoma was part of the what in 1803 	Louisiana purchase. 	What were volitos first demonstrated in Soho London in 1823	Roller Skates	The traditional Sweedish drink	Aquavit
Which U.S. boxer was known as 'The Manessa Mauler'	Jack dempsey	In Hitchcock's film The Trouble with Harry - what was the trouble	He was dead	Who Wrote The Messiah	Handel
Who Had Minor Hits With "Dogs Of Lust", "Slow Emotion Replay" And "Dis -Infected" EP	The The	Music What is the narrow, inland sea, separating the Arabian peninsula, western Asia, from northeastern Africa	Red sea	What Is An Oxer 	A Type Of Jump In Show Jumping
What does a Stupprator prefer sexually	Virgins	In Gulliver's Travels, from what did the scientists seek to get sunshine	Cucumbers	Kenophobia is a fear of ______	Empty spaces
An elephant has 400000 what in its trunk	Muscles	William Blake Winston Churchill John Lennon what links	Ordained Druids	Then name Santa Claus is derived from which language, is it Dutch, French or Italian 	Dutch 
The Zagros mountain range is in which country	Iran	 An extinct species of __________ had a head the size of a Shetland pony's and reached a height of more than ten feet.	Kangaroo	Which Very Famous Book Which I'm Sure Many Of You Have Read Was Written & Illustrated By “ Eric Carle ” In 1969 ?	The Hungry Hungry Caterpillar
What is the highest mountain in the Appalachian range?	Mt. Mitchell	Alex Hurricane Higgins & Jimmy The Whirlwind White But Whats Ronnie O Sullivans Nickname 	Ronnie The Rocket O Sullivan 	Which ship did Charles Darwin captain?	HMS Beagle
In South Korea traffic police must report what	Tourists bribes taken	Needlework of hooked yarn producing lacy patterned fabric	Crochet	Who Asked "What Have You Done For Me Lately" In 1986	Janet Jackson
What does SALT stand for	Strategic arms limitation treaty	What is a male goose called	Gander	Who wrote Candide	Voltaire
Which chemical element has the atomic number 4?	Berylium	Who Spent A Year In Prison For Sleeping With An Underage Girl 	Graham Rix 	Fill in the blank: the ___ Piper	Pied
Who had a hit no 5 in US 1971 with Bridge over Troubled Water	Aretha Franklin	What is a Fata Morgana	Type of Mirage	Which football team has played at Wembley more times than anyone else? 	Leyton Orient 
William the First was crowned on Christmas day, but in what year 	1066 	Clement C. Moore wrote a very famous Christmas poem What was it called? 	Twas The Night Before Christmas 	Which Stock Control System Was Introduced In American Supermarkets in 1974 	Bar Codes 
What country covers an entire continent	Australia	Who is on a u.s. bill	Benjamin franklin	What is the Capital of: Guam	Hagatna agana
In which film did Donna Summer make her debut as an aspiring disco singer?	Thank God It's Friday	Which was the first 'james bond' novel	Casino royale	In Which Year Did Sting Release Fields Of Gold	1993
Who was responsible for driving the english out of scotland in 1297	William	What is studied in the science of somatology	The Body	Harrison What do the San Joaquin kit fox, Hawaiian hawk and Ocelot have in common	Endangered species
Which duo released albums called Introspective and Very?	Pet Shop Boys	What is the last book of the Bible	Revelations	What is a group of this animal called: Monkey	Troop
What is the front of a saddle called?	Pommel	In Which Scary Movie Will You Find The Character Martin Brody 	Jaws 	What name is given to the group of animals that eat meat	Carnivores
Fried Chicken Strawberry Shortcake trad Xmas eve meal where	Japan	Which European country has regions named Limburg, Drente and Brabant	Netherlands	According The Who keeps a ten bob note up his nose?	Mean Mr. Mustard
U.S. Captials - Michigan	Lansing	What does an animal have if it is a fish	Gills	John Callcott Horsley designed what first commercial Christmas item in 1843? 	Christmas card 
Which epic film was based on a novel by Lew Wallace	Ben hur	What Eastern Fruit Comes In A Shell 	The Lychee 	Pancho was whose faithful sidekick?	Cisco Kid's
What are the young of a rabbit called	Kittens	In which film based on a James Jones novel does Deborah Kerr embrace on the beach with Burt Lancaster	From here to eternity	Which company slogan was "We're No 2 We try harder"	Avis rent a car
Paul wrote "Martha My Dear". Who did he know who was named Martha?	His Dog	Officers how many british officers were forced by indian troops into the black hole of calcutta	146	Who rejected the 1964 Nobel prize for literature	Jean Paul Sarte
Who filled in for Ringo on the Beatles' 1964 world tour?	Jimmy Nicol	STDs are the most costly health problem in the USA what's 2nd	Dog Bites	What is the capital of texas	Austin
What planet did Alf come from?	Melmac	Which Country Are Bachman Turner Overdrive From	Canada	Which country is the largest in Africa	Sudan
Who wrote dionne warwick's 'walk on by' and 'say a little prayer'	Burt	What is the tenth letter of the Greek alphabet	Kappa	Who wrote the book The Puppet Masters later a film	Robert Heinlein
What is the technical difference between rowing and sculling	Rowing means using a single oar	What links Hong Kong Singapore Rio and Utopia	Road Films	What is a group of travelling wolves	Route
Outside poland, where is the largest polish population	Chicago	In which continent would you find the amur river 	Asia 	Where would you find or what are guntlines	Rope - groves
In The Film Saving Private Ryan What Was Private Ryan's First Name?	James	Length of the longest Beatles track	Revolution 9,'' from the White Album	Who wrote the threepenny opera?	Bertolt Brecht
What song won the grammy for "song of the year" in 1977	You light up my	What part of a horse would you look at to determine its age	Teeth	What is the Capital of: Denmark	Copenhagen
Which Band From Manchester Incluides The Former Entertainments Manager From The Hacienda (Nightclub)	M People	Which Well Known Gangster Lives At “ 36 Cherry Blossom Close ”	Ali G	What organization was given the only Nobel Peace Price awarded during World War I	International Red Cross
How did George II die	Fell off toilet	What is the fear of home surroundings or house known as	Oikophobia	What is the flower that stands for: reverie	Flowering gern
Electric, Perse and smalt shades of which colour	Blue	Sorrowful song or poem	Elegy	Who wrote the novels 'About A Boy'', 'How To Be Good'' and 'High Fidelity''? 	Nick Hornby 
Every day in the US people steal $20000 from where	Vending machines	Who wrote the book 'The Guns Of Navarone'' 	Alistair McClaine 	In what country is the jutland peninsula 	Denmark 
Who wrote "The Picture of Dorian Grey"	Oscar wilde	What country controls access to the North Sea from the rivers Schelde, Meuse and Rhine	Netherlands	Who is always the victim the game of Cluedo	Dr. black
Indiana jones: who was known to get lost in his own museum	Marcus brody	What was the name of the first "portable" computer?	Osbourne	Who Wrote Pink Cadillac For Natalie Cole	Bruce Springsteen
In Which Childrens TV Show Will You Find The Characters Of "Florrie & Baby Pom"	The Fimbles	What is the most widely eaten meat in the world? 	Pork 	What is the SI unit of pressure or stress	Pascal
Mr Chips said goodbye from Brookfield school - What subject	Latin	The molten material from a volcano is ________?	Lava	Who released 'time, love and tenderness' in 1981	Michael bolton
Where is the worlds largest mine	Carletonville South Africa	What WasMichael Barymores Occupation Before He Found Fame As A TV Star	Hair Dresser	The Walibri tribe central Australia greet each other how	Shaking Penises
Florence Nightingale tended the soldiers in which war	Crimean	Phineas Barnum opened his circus in what year	1871	In Hill Street Blues which character used to bite people	Animal - Mick
What is the name of the cord joining a mother & her unborn child	Umbilical cord	What is the next-to-next-to-last event	Antepenultimate	Who in US was given Hitler's Supreme Order of German Eagle	Henry Ford
What Is Joseph Cyril Bamfords Claim To Fame?	The JCB Earth Mover	Which railway tunnel, 20 kilometres long, joining Isselle in Italy with Brig in Switzerland, is cut under Mount Leone in the Alps	Simplon tunnel	Who Sang Gonna Fly Now (Theme From Rocky) In 1977	Bill Conti
The name for this semi-precious stone comes from the Latin for "sea water"	Aquamarine	What is the flower that stands for: consolation	Red poppy	Where Was Britains First Escalator Installed	Harrods
What Name Appears In The Title Of Both A Beatles Hit And A Novel By ThomasHardy?	Jude	Can you name 2 British golfers to win the US Masters in the 1990's? 	Nick Faldo & Ian Woosnam 	Why did the USA govt open Lincolns coffin in 1887 and 1901	Check body still there
An atom is comprized of these 3 subatomic particles: electron, neutron, & _____	Proton	Who succeeded Churchill when he resigned in 1955	Sir anthony eden	Which Two Sports Comprise A Biathlon? (PFE) 	Cross Country Skiing & Rifle Shooting 
Which Group Comprises Of Colin Angus And Mr C	The Shamen	Henri Charrier is better known by what nickname	Papillion – The Butterfly	What is the most northerly town in Europe	Hammerfest
What are the colours of the Olympics rings (in order).?	Blue Yellow Black Green Red	For whom was buckingham palace built	John sheffield	Idaho Falls Idaho its illegal for over 88 year olds to do what	Ride a motorcycle
Who Was The First Woman To Appear Naked On The Front Cover Of The Radio Times	Helen Mirren	Booze Name: 1 oz. gin, 1/2 oz. dry vermouth, 1/2 oz. sweet vermouth, 1/2 oz. orange juice	Bronx cocktail	There are more the 38000 types of what	Mushrooms
What was known as the spice island	Zanzibar	Leslie Sebastian Charles is better known as who	Billy Ocean	Silver Convention was a studio-created group. In which country was the studio situated?	Germany
In which county is Charnwood Forest	Leicestershire	What is the fear of the night known as	Noctiphobia	The telephone county code 39 would connect you with _____	Italy
What is the name of the Tokyo Stock Market Index	Nikkei	In the monty python parody 'search for the holy grail', what was arthur's trusty servant's name	Patsy	In Greek mythology, who was the first woman on Earth, created by Hephaestus at the request of Zeus	Pandora
In The Pilgrim's Progress, which city of Christian's final destination	Celestial city	The original name for this Pontiac car was the Banshee, for its mythicality.	Firebird	The star Aldebran is part of which constellation?	Taurus
What Do You Get If A Male Donkey Breeds With A Horse? 	A Mule 	What would an Irishman do with his shone	Cut Peat	What is the capital of Bosnia and Hercegovina	Sarajevo
How Many Suits Are There In A Game Of (Mah Jong) 	3 Suits 	In Which Country Is The Chernobyl Nuclear Power Plant That Had A Melt Down Causing Widespread Radioactive Fallout	Ukraine, 1986	Name The Kajagoogoo's Debut Single	Too Shy
Who released the following album 'Strange brew ' 	Cream 	Which Of Jane Austens Novels Was Publsihed Posthumously 	Persuasion 	In what book did we meet the Eoli and the Morlocks	The Time Machine – HG Wells
What is the derivative of sin x	Cos x	What is the name for the liquid butter used in Indian cooking? 	Ghee 	Which is the only english word that contains all the vowels in alphabetical order?	Facetious
What name is given to the fraction part of a logarithm number?	Mantissa	What U.S. state includes the telephone area code 701	North dakota	Who played the role of Miss Hannigan in the film Annie	Carol Burnett
Ralph Freeman designed which Australian landmark	Sydney harbour bridge	Which singer/songwriter won a Grammy in 1988 with 'Don't Worry, Be Happy'	Bobby mcferrin	What color was Coca Cola originally	Green
In Wonderland, Who Took A Watch Out Of His Waistcoat Pocket Only To Discover That He Was Late 	The White Rabbit 	Who is the only American president elected unopposed	George Washington	 Who or what could win a Golden Clio award 	Advertising Film
What animals teeth were used as knife blades by the Indians	Beaver	Al Alcorn wrote which famous computer program / game	Pong	Who was the Celebrity Captain of the Chicago Blackhawks in 1991-92	Jim
In The Film 'Halloween' For How Many Years Was The Killer Locked Up In An Asylum Before He Escaped 	15 Years 	In what country is the Eucumbene Dam	Australia New S Wales	What is the basic unit of currency for Haiti ?	Gourde
Norman Bean became famous as which author	Edgar Rice Burroughs	What is the Roman numeral mcdxlii in decimal	1442	What is the capital of Afghanistan	Kabul
In which tv series does fred savage play kevin arnold	The wonder years	Which drink made of hot milk curdled with ale, wine, etc. and often flavoured with spices, was formerly used as a cold remedy? 	Posset 	What is a group of grouse	Pack
The valuable blue form of corundum is called:	Sapphire	Any type of machine that obtains mechanical energy directly from the expenditure of the chemical energy of fuel burned in a combustion chamber that is an integral part of the engine	Internal combustion	Who released the following 'edible' album 'Chocolate starfish and the hot dog flavoured water' 	Limp Bizkit 
 It takes approximately 69,000 venom extractions from the __________	To fill a 1_pint container. coral snake	Who On TV Drove A Car With The Licence Plate "CNH 320"	The Dukes Of Hazzard	A long cylindrical pillow	Bolster
What are people encouraged to kiss under	Mistletoe	Haifa is a major seaport in which country	Israel	What is the British equivalent of the game known in America as 'Tick-Tack-Toe'	Noughts and crosses
In Islington in London it’s a £50 fine for sleeping where	The Public Library	How many elevators stopped at the bridge on Star Trek	One	Who was the cisco kid's faithful sidekick	Pancho
If a dish is served pomontier what does it contain	Potatoes	In the film 'star wars', what species is chewbacca	Wookie	Which moon is the largest satellite in our solar system?	Ganymede
What Describes A Person With No Skin Pigment 	An Albino 	 Fish travel in schools, whales travel in pods or __________	Gams	In America what colour is the Green Card	White
Which Of These People Is The Shortest "Jarvis Cocker, Micheal Stipe Or Nicky Wire"	Michael Stipe	With which sport is Chris Evert Lloyd identified?	Tennis	Who died three days before groucho marx	Elvis presley
Creedence clearwater revival sings 'have you ever ______'	Seen the rain	What is the name given to a pregnant goldfish?	Twit	What ballerina is known by her peers as "the body"	Cynthia gregory
In the tv series 'leave it to beaver', what was wally's best friend's name	Eddie haskell	Which 2 Countries Occupy The Iberian Peninsular 	Spain & Portugal 	Which poem begins "Oh to be in England now that April's here"	Home thoughts from abroad
In Boxing Who Suffered Defeats To Tim Witherspoon, Mike Tyson & Lennox Lewis 	Frank Bruno 	His wife was Penelope and his son, Telemachus. He was exiled from his home on Ithaca for angering the gods?	Odysseus	Which U.S. city is known as Beantown	Boston
In 'Bridget Jones Diary'', Bridget Jones makes a New Years Resolution, to sort out her life, meet a man and keep a diary, but who played Bridget Jones 	Renée Zellweger 	Where did the Ghost of Christmas Present take Scrooge first	His clerk's	Black and white seabird with small wings	Auk
What fashion designers symbol is a swan	Gloria Vanderbilt	What fish is the fastest?	Sailfish	What is the real name of the murderer known either as 'The .44 Calibre Killer' or 'The Son of Sam'	David berkowitz
