Which of the following does NOT help you sleep?	A COLD SODA	What word is the opposite of the word “right”?	WRONG	Which of the following words means “made with a hissing sound?”	SIBILANT
What is the French word for ‘arm”?	BRAS	Who is the hero of the Legend of Sleepy Hollow?	ICHABOD CRANE	Spain borders which ocean?	ATLANTIC
Do,Re,Mi,Fa,So,La,Ti,Do are examples of what?	SOLFEGE SYLLABLES	What is the opposite of the word “advance”?	RETREAT	What unit of measurement is abbreviated “oz.”?	OUNCE
Which of the following are NOT vertebrates?	MOLLUSKS	In Greek mythology, which god was the ruler of the sea?	POSEIDON	Who broke Baby Bear’s chair and fell asleep in his bed?	GOLDILOCKS
What number comes next 5,6,7,8,__?	9	What do we call a transfer of heat through moving liquids or gases?	CONVECTION	How many U.S. States border the Pacific Ocean?	5
Which kind of disaster are you likely to find in the Pacific Northwest?	VOLCANO	Concentric circles(circles within circles) are an example of what element of art?	BALANCE	Which of the following is an example of an intermediate color?	BLUE-GREEN
The trumpet,trombone and french horn are in which family of musical instruments?	wind	Kiev is the capital of what European country?	UKRAINE	When you mix equal amounts of blue and yellow paint, what color do you get?	GREEN
What is the French word for “drink”?	BOIRE	A rectangle has how many sides?	4	What best describes actors working as a group onstage instead of as individuals?	ENSEMBLE
Which of the following words means “in spite of”?	THOUGH	What can be measured by hue,saturation, and brightness?	COLOR	What kind of nutritional substance is broken down by bile?	FAT
Who served as a guide and interpreter for the Lewis and Clark expedition?	SACAGAWEA	What is the Spanish word for “closed”?	CERRADO	Amanda left for school at 8:15am and returned home the same day at 3:15am. How many hours was she gone?	7 HOURS
How many vowels are in the word “penny”?	2 *CORRECT*	Which of these words is misspelled?	JUGEMENT	Which of the following terms is NOT used to describe Op art?	COLOR-CONTRAST ABSTRACTION
Which of these terms describes the left of center stage as seen by the audience?	STAGE RIGHT	What is the answer to a division problem called?	QUOTIENT	Which of the following words is misspelled?	NUPTUAL
What kind of art technique uses the end of a burned stick?	CHARCOAL	What helps stop harmful radiation from reaching Earth?	THE ATMOSPHERE	Which of the following is an example of a nonliving thing?	LIGHTBULB
Which of the following is a book by Shel Silverstein?	“THE GIVING TREE”	La Paz is the capital of what South American city?	BOLIVIA	Which of the following words uses a long “u” sound?	USE
What do we call a rabbit’s home?	WARREN	What is defined as the leading edge of a mass of warm air?	WARM FRONT	The Roman middle class was known as what?	EQUESTRIANS
What kind of disaster is a volcano?	GEOLOGICAL	Which word uses a diphthong?	ALTHOUGH	What does the prefix “kilo” mean?	1000
A python is a member of which family?	REPTILE	What state’s nickname is “Old Dominian”?	VIRGINIA	What state’s nickname is “The Bluegrass State”?	KENTUCKY
What is the largest city in India?	MUMBAI	Who was the second President of the United States?	JOHN ADAMS	What U.S. president served the most terms?	FDR
Near what continent would you find the Gulf of Oman?	ASIA	Which of these items cannot be recycled?	GASOLINE	Where is the longest continental mountain chain?	SOUTH AMERICA
Which dinosaur has large bony plates on its back?	STEGOSAURUS	What is the French word for “run”?	COURIR	About how long does it take heat from the sun to reach Earth’s surface?	8 MINUTES
Mount Everest is located on which continent?	ASIA	Mako,a fish-lover,is sampling seafood at restaurants along the Eastern seaboard.Because its not on the coast,which of the following states will Mako NOT want to visit?	VERMONT	What is the Spanish word for “Wednesday”?	MIERCOLES
What is a story with animals that act like humans that teaches a moral or lesson called?	FABLE	What is the name of former U.S. president Garfield?	JAMES	What instrument family would not be found in a marching band?	STRING
Animals that have a gas bladder are often found in what environment?	AQUATIC	Which of these words is misspelled?	UNNLESS	What is the first life stage of a Butterfly?	EGG
Which of the following is a therapod?	DEINONYCHUS	Which city is the capital of Ohio?	COLUMBUS	What is the earliest recorded successful form of manned flight?	HOT AIR BALLOON
How many state names begin with the letter W?	4	How many nouns are in the following sentence? “Slow but steady wins the race.”	1	What is the spanish word for “between”?	ENTRE
Which is a fairy tale collected by the Brothers Grimm?	“RAPUNZEL”	Which of the following is NOT an example of a lever?	AXE	In norse mythology, who is the chief God and ruler of the Aesir?	ODIN
“As sharp as a tack” is an example of what type of figure of speech?	SIMILE	What is the largest desert in Africa?	SAHARA	What is TEXAS?	STATE
Saturn is most famous for which feature?	RINGS	If you have two dimes and buy a piece of candy for 7 cents,how much money will you have left over?	13 CENTS	What is 11/2 expressed as a percentage?	150%
In what habitat would you find a shark?	OCEAN	What kind of diet does a shark have?	CARNIVOROUS	On the periodic table, what tells you how many protons are in the nucleus of an atom?	ATOMIC NUMBER
The country of Mali gained independence from what European colonial power in 1960?	FRANCE	What is the French word for “wide”?	LARGE	Uruguay borders which ocean?	ATLANTIC
What is the root word of the word “unending”?	END	Which of the following animals uses mimicry as a defense?	SNAKE EEL	How many nouns are in the following sentence? “Slow and steady wins the race”	ONE
“7243+0=7243” is an example of which property of addition?	IDENTITY	Ancient Rome, before the rise of Julius Caesar,used to practice what form of government?	REPUBLIC	Which of the following scales is used to measure hurricane density?	SAFFIR_SYSTEM
What is the thin membrane inside the ear that helps you hear?	EARDRUM	How many vowels are in the word “sleepy”?	3	the phrase “scratch the surface” is an example of what figure of speech?	IDIOM
What’s a 7 letter word that means “a place where a person cooks”?	KITCHEN	What terms describe drawing something nearer or closer to you?	ATTRACTION	Which of the following is a homophone?	REIGN AND REIGN
A decorated fountain would emphasize what element of art?	FORM	What is the possibility of rolling a three on a single die?	1 IN 6	Which of the following colonies won its independence from Great Britain in the mid to late 20th century?	UGANDA
Which of the following is NOT a definition for the word “case”?	DISCUSSION	Bern is the capital of what European Country?	SWITZERLAND	In the food chain, what would an earthworm be considered?	DECOMPOSER
In the C major scale, C to D is an example of what?	A WHOLE STEP	Which of these is a short-vowel word?	LAP	There are 3 secondary colors, 2 of them are purple and orange. What is the third?	GREEN
What is the French word for “11”?	ONZE	What kind of energy is associated with motion?	KINETIC	Four of the five senses are hearing, smell, taste, and touch. What is the fith sense?	VISION
Which ship was NOT part of Christopher Columbus’ fleet?	PRIMA	What word means become smaller?	SHRANK	What states nickname is “The hossier state?”	INDIANA
Who invented the airplane?	WRIGHT BROTHERS	What are the basic building blocks of rocks?	MINERALS	The term “sesquintennial” refers to how many years?	150
Which of the following is not considered an art movement?	FINGERPAINTS	Which region of an insect is composed of 11 sections?	ABDOMEN	What is the common pronunciation of the spanish letter “W”?	DOBLE VE
“Proud Percival pranced precariously across the prickly prairie.” In that sentence, how many words are examples of alliteration?	6	Which of the following colonies won its independence from France in the mid-20th Century?	CONGO	What is the hero’s motivation in “Robin Hood”?	TO HELP THE POOR
What is the largest city in Mozambique?	HARARE	A sphere is a three dimensional what?	CIRCLE	Which of the following words is a proper noun?	CYNTHIA
What is the French word for “thin”?	MAIGRE	What is the part of a fish that helps it to breathe underwater?	GILLS	Including Y, how many consonants are in the modern English alphabet?	21
Which of these is a long-vowel word?	TIE	Which suffix is often added to nouns to make them into adjectives?	#NAME?	What is the prefix of the word “tricycle”?	TRI
Near what continent would you find Yellow Sea?	ASIA	Which of the following is a palindrome?	BIB	New york plays host to the Museum of modern art, the metropolitan museum of Art and what other museum?	THE GUGGENHEIM
